iter	MultiClass
295	0.3196822295
296	0.3194715073
297	0.3187483492
298	0.3184590332
299	0.3180754913
300	0.3176747371
301	0.3172435141
302	0.3170461983
303	0.3167357866
304	0.3161986129
305	0.3155416353
306	0.3151674344
307	0.3148008514
308	0.3144501104
309	0.3139886101
310	0.3133263323
311	0.3130341377
312	0.3128280164
313	0.3121170491
314	0.3119668462
315	0.3117100205
316	0.3112483855
317	0.3110105209
318	0.3108318883
319	0.3106096838
320	0.3103113094
321	0.3099354528
322	0.3095966793
323	0.3093756401
324	0.3091402734
325	0.3088540965
326	0.3087384484
327	0.3084202543
328	0.3080893536
329	0.3077182722
330	0.307376318
331	0.307212257
332	0.306676341
333	0.3061590881
334	0.3059973117
335	0.3055898754
336	0.3053173581
337	0.3051148121
338	0.3048114058
339	0.3046170453
340	0.3043952999
341	0.303955073
342	0.3034896023
343	0.3032577365
344	0.3027996009
345	0.302591541
346	0.3023190813
347	0.3020107542
348	0.3018306065
349	0.3012428625
350	0.3010755048
351	0.3008293895
352	0.3006223897
353	0.3001394502
354	0.2993797513
355	0.2990549216
356	0.2985133866
357	0.2982793978
358	0.2981432179
359	0.2979382654
360	0.2975151672
361	0.297240799
362	0.2966796955
363	0.2963240688
364	0.2958264124
365	0.2953551518
366	0.2950167415
367	0.2947029685
368	0.2942545258
369	0.2936832777
370	0.2933807305
371	0.2932014449
372	0.2928083185
373	0.2924328602
374	0.2922788182
375	0.2915303153
376	0.2912363667
377	0.2910026762
378	0.2905216217
379	0.2902258076
380	0.2899401642
381	0.2898203307
382	0.2895842028
383	0.2892506259
384	0.2889978202
385	0.2883791097
386	0.2881849069
387	0.2879878488
388	0.2876788339
389	0.2873296043
390	0.2869826232
391	0.2865950411
392	0.2861890661
393	0.2857237474
394	0.2854025372
395	0.2848891715
396	0.284538032
397	0.284190544
398	0.2840609784
399	0.2836277837
400	0.283463102
401	0.2830845746
402	0.2827966161
403	0.2824669337
404	0.2820716106
405	0.2818300483
406	0.2814611902
407	0.2811379671
408	0.2807415339
409	0.2805837266
410	0.2803746571
411	0.2800353668
412	0.2796608634
413	0.279350983
414	0.2791745944
415	0.2787891716
416	0.2784407379
417	0.27815592
418	0.2778780528
419	0.2775915036
420	0.2773315742
421	0.2769610524
422	0.2767163249
423	0.2765388474
424	0.2763838257
425	0.2760917923
426	0.2758167209
427	0.2756046943
428	0.2750432317
429	0.2745927285
430	0.2743651183
431	0.2739595313
432	0.2738850298
433	0.273727312
434	0.2732498419
435	0.2731219779
436	0.2726063025
437	0.2724812753
438	0.2722747633
439	0.2719200043
440	0.2716019427
441	0.2712862861
442	0.2708511968
443	0.2706807654
444	0.2705406933
445	0.2703033067
446	0.269961499
447	0.2697432842
448	0.269179778
449	0.2688870162
450	0.2685467032
451	0.2683218125
452	0.2679160662
453	0.2675492953
454	0.2671917167
455	0.2668617263
456	0.2666661854
457	0.2664999816
458	0.2661816547
459	0.2659410656
460	0.2655787995
461	0.265353897
462	0.2652919012
463	0.2650574059
464	0.2647206435
465	0.2644936868
466	0.2641045324
467	0.2639060664
468	0.2635891971
469	0.2632644688
470	0.2631336427
471	0.2629699675
472	0.2627681101
473	0.2624499272
474	0.2622747869
475	0.2620740128
476	0.2617749272
477	0.2615985279
478	0.261396368
479	0.2611935061
480	0.2609187158
481	0.2607195477
482	0.2605094632
483	0.2603478738
484	0.2600759734
485	0.2597480788
486	0.2595822149
487	0.2591986382
488	0.2589643835
489	0.25874566
490	0.2582455443
491	0.2580720286
492	0.2576858308
493	0.2573775175
494	0.2571317898
495	0.2569070073
496	0.2566806247
497	0.2565285386
498	0.2563783072
499	0.2561284986
500	0.2560107251
501	0.2556371088
502	0.2553251898
503	0.2550792693
504	0.2548077909
505	0.2546146962
506	0.2544173652
507	0.2541816394
508	0.2540942708
509	0.2538808482
510	0.2536427828
511	0.2534558509
512	0.2532376459
513	0.2530345918
514	0.2526982194
515	0.2523472409
516	0.2520744645
517	0.2518956053
518	0.2515453994
519	0.2513415667
520	0.2510248177
521	0.2506538907
522	0.250430353
523	0.2501622618
524	0.2499368867
525	0.2496819827
526	0.249248856
527	0.2490763533
528	0.2488817287
529	0.2487228363
530	0.2485705441
531	0.2479810122
532	0.2478362206
533	0.2476297605
534	0.2473961376
535	0.2471094478
536	0.2468966417
537	0.2467101157
538	0.2465083867
539	0.2462722807
540	0.2461297243
541	0.2458413978
542	0.2455462421
543	0.2453734986
544	0.2452115287
545	0.2450400528
546	0.2448801284
547	0.2447045732
548	0.2444389547
549	0.2442976373
550	0.244083648
551	0.2439722498
552	0.2438044718
553	0.2433377687
554	0.2430365003
555	0.2428007945
556	0.2425136829
557	0.2423683953
558	0.2421299011
559	0.2418851431
560	0.2416895323
561	0.2412374764
562	0.2409729371
563	0.2407730946
564	0.2406837079
565	0.2404250977
566	0.2402420333
567	0.2399671737
568	0.23984066
569	0.2396002011
570	0.239354845
571	0.2391666129
572	0.2390246196
573	0.2388758042
574	0.2383418088
575	0.238148437
576	0.2379320873
577	0.2376562213
578	0.2373127517
579	0.237052835
580	0.2367719865
581	0.2366792265
582	0.2363790452
583	0.2361090946
584	0.2358529525
585	0.2357462223
586	0.2355882518
587	0.2353542285
588	0.2351340475
589	0.2348998802
590	0.2347739834
591	0.2346108263
592	0.234331314
593	0.2339122646
594	0.233731165
595	0.2335332582
596	0.2332609528
597	0.2330724834
598	0.2328939877
599	0.2328109659
600	0.2326792233
601	0.2324929515
602	0.2321376923
603	0.2319844615
604	0.2317978369
605	0.2317044844
606	0.2314514825
607	0.2313124822
608	0.2310480843
609	0.2307739717
610	0.2303702297
611	0.2302220927
612	0.2301587156
613	0.2299557259
614	0.2298182251
615	0.2296515456
616	0.2294720061
617	0.2292382777
618	0.2290578683
619	0.2288362806
620	0.2285543314
621	0.2282652221
622	0.2281691826
623	0.2278693782
624	0.2276402845
625	0.2273822071
626	0.2272534299
627	0.2270639322
628	0.2268542787
629	0.2265615113
630	0.226233794
631	0.2259656416
632	0.2257115194
633	0.2256141625
634	0.225487558
635	0.2251476419
636	0.2248480257
637	0.2246413349
638	0.2244334969
639	0.2239556066
640	0.2237281048
641	0.22366297
642	0.2234029286
643	0.2231675984
644	0.2229049358
645	0.2227440746
646	0.2224608914
647	0.2223707826
648	0.2221204216
649	0.221946013
650	0.2217404376
651	0.2213374653
652	0.2210770598
653	0.2210208201
654	0.2207622967
655	0.2206115715
656	0.2204533472
657	0.2202330404
658	0.2200797056
659	0.2198892618
660	0.219797694
661	0.219648153
662	0.2192743609
663	0.219062391
664	0.2188977544
665	0.2186845584
666	0.2183938141
667	0.2181584831
668	0.2177675208
669	0.2175530601
670	0.2171610145
671	0.2169342668
672	0.2166192598
673	0.2163175814
674	0.2160839834
675	0.2158897924
676	0.2156639854
677	0.2155383829
678	0.2152915065
679	0.215133093
680	0.2150159011
681	0.2149189196
682	0.2146827239
683	0.2145166725
684	0.2143790425
685	0.2142389815
686	0.2140721615
687	0.2138814339
688	0.2137254297
689	0.2134630883
690	0.2131622325
691	0.213054139
692	0.2129016651
693	0.212700838
694	0.212586547
695	0.2122299647
696	0.2121060734
697	0.2119110344
698	0.2116908521
699	0.2113703406
700	0.2113085149
701	0.2110979447
702	0.211015999
703	0.2108384132
704	0.2105281351
705	0.2103081662
706	0.2101847491
707	0.2100281486
708	0.2098420421
709	0.2096757795
710	0.2094201406
711	0.2092853918
712	0.209062106
713	0.2088191846
714	0.2087478448
715	0.2086433866
716	0.208343874
717	0.2082206866
718	0.2080783709
719	0.2077963207
720	0.2076746002
721	0.2074857612
722	0.2070147968
723	0.2067586705
724	0.2066350548
725	0.2064808822
726	0.2064253007
727	0.2062506662
728	0.2060456008
729	0.2058315717
730	0.2055893748
731	0.2052744852
732	0.2051305084
733	0.2049918058
734	0.2047561249
735	0.2045825502
736	0.2043850256
737	0.2041905414
738	0.204023422
739	0.2037933707
740	0.2035186032
741	0.2034064911
742	0.2031535501
743	0.2028459347
744	0.2027519762
745	0.2026232254
746	0.2024686802
747	0.2022517091
748	0.2020665022
749	0.2018947229
750	0.2017589877
751	0.2014501674
752	0.2013533376
753	0.2011883499
754	0.2010873084
755	0.2008567747
756	0.2007121167
757	0.2005125662
758	0.2003348712
759	0.200136805
760	0.1999546645
761	0.1998221924
762	0.1997391449
763	0.1995439099
764	0.1994502733
765	0.1993475306
766	0.1991478722
767	0.1990569741
768	0.1988465106
769	0.1987754248
770	0.1986673955
771	0.1985147107
772	0.1984119662
773	0.1981818338
774	0.1980306637
775	0.1979100722
776	0.197734242
777	0.1974921314
778	0.1972556561
779	0.1970106738
780	0.1968091713
781	0.1967045984
782	0.1965553296
783	0.1964214464
784	0.1962707673
785	0.1961372706
786	0.1960002636
787	0.1957651503
788	0.1956193804
789	0.1955771457
790	0.195402559
791	0.1952688741
792	0.1951253529
793	0.1948647053
794	0.1947041274
795	0.1945627281
796	0.1944020032
797	0.1942262916
798	0.1940538459
799	0.1939923494
800	0.1938604464
801	0.1937909504
802	0.1937366954
803	0.1936619482
804	0.1934916506
805	0.1933203191
806	0.1932065452
807	0.1929892389
808	0.1928401451
809	0.1926731505
810	0.1925033933
811	0.1922978017
812	0.192187475
813	0.1920638167
814	0.1918992504
815	0.1917143893
816	0.1916332648
817	0.1914894626
818	0.1913405847
819	0.1912088354
820	0.1911145507
821	0.1908604992
822	0.1906405761
823	0.1905401405
824	0.1904685521
825	0.1902186457
826	0.1899797579
827	0.1897656695
828	0.1896371664
829	0.1895304814
830	0.1892647035
831	0.1890491581
832	0.1888612772
833	0.188592882
834	0.188419705
835	0.1883297654
836	0.1881406896
837	0.1880589011
838	0.1879218123
839	0.1877654736
840	0.1876721295
841	0.187561882
842	0.1873986214
843	0.1872717304
844	0.1871856038
845	0.1870624133
846	0.1869700282
847	0.186683829
848	0.1865967199
849	0.1864362462
850	0.1863961617
851	0.1863089179
852	0.1862269172
853	0.1860926787
854	0.1859245165
855	0.1857935622
856	0.1854491961
857	0.1852874441
858	0.1851575122
859	0.1850131085
860	0.1848545632
861	0.1846985068
862	0.1845141305
863	0.184387768
864	0.1842939287
865	0.1842099324
866	0.1839219073
867	0.1837882871
868	0.1836975405
869	0.1836280563
870	0.1835765237
871	0.1834993693
872	0.1834178914
873	0.1831623499
874	0.1829750006
875	0.1828731602
876	0.1827837106
877	0.1826290656
878	0.182398108
879	0.1823249877
880	0.1822030399
881	0.1821377717
882	0.1820119807
883	0.1817111384
884	0.181557228
885	0.1813655146
886	0.1811654241
887	0.180943779
888	0.1807760825
889	0.1806131195
890	0.1805487542
891	0.1804717031
892	0.180378076
893	0.1802897462
894	0.1801800265
895	0.1799944216
896	0.1797564285
897	0.1794847339
898	0.1793462033
899	0.1792638249
900	0.179120065
901	0.1790179787
902	0.1789420988
903	0.178850473
904	0.1787414132
905	0.1786557915
906	0.1784547032
907	0.1782470671
908	0.1779963352
909	0.1778630683
910	0.1777958535
911	0.1776670444
912	0.1776162346
913	0.1774412627
914	0.1773849578
915	0.1772702877
916	0.1771411729
917	0.1769336651
918	0.1767862205
919	0.1767286681
920	0.1766877151
921	0.1765624368
922	0.1764277043
923	0.1762810034
924	0.1760774078
925	0.1758580757
926	0.1757312459
927	0.1755853033
928	0.1753678956
929	0.1752308458
930	0.1749816422
931	0.1748377613
932	0.1746609618
933	0.1745727626
934	0.1743409241
935	0.1742216214
936	0.1741823308
937	0.174042052
938	0.1737332971
939	0.1735862626
940	0.1732829666
941	0.1730722527
942	0.1728781798
943	0.1728062241
944	0.1727236048
945	0.1725466014
946	0.1724106921
947	0.1723274775
948	0.1722427312
949	0.1720815511
950	0.1719889135
951	0.1718818599
952	0.1716689922
953	0.1715920915
954	0.1715193189
955	0.1714096897
956	0.1712353041
957	0.1710948492
958	0.1710392381
959	0.1707282738
960	0.1706211651
961	0.170511373
962	0.1702346146
963	0.1701718636
964	0.1700379867
965	0.1698184916
966	0.1697296434
967	0.1694904639
968	0.169359841
969	0.1691468299
970	0.1690614642
971	0.1689002474
972	0.1687984715
973	0.1686374801
974	0.1685837495
975	0.1684927647
976	0.1683952102
977	0.1682079312
978	0.1679604692
979	0.1677270885
980	0.1675376582
981	0.1673301706
982	0.1671987807
983	0.1670537613
984	0.1668656996
985	0.1666398531
986	0.1662971733
987	0.1661593043
988	0.1659449323
989	0.1657973384
990	0.1656750527
991	0.165527013
992	0.1653740535
993	0.1650590845
994	0.1648470932
995	0.1646760639
996	0.1645491379
997	0.1643927827
998	0.1642486339
999	0.164035665
