iter	Passed	Remaining
400	18124	27073
401	18168	27026
402	18206	26970
403	18248	26921
404	18294	26876
405	18337	26828
406	18383	26784
407	18426	26735
408	18467	26685
409	18506	26631
410	18549	26583
411	18589	26530
412	18633	26483
413	18678	26438
414	18721	26390
415	18766	26345
416	18814	26304
417	18862	26262
418	18907	26217
419	18953	26173
420	18997	26126
421	19039	26077
422	19087	26036
423	19134	25993
424	19177	25946
425	19221	25899
426	19264	25852
427	19306	25802
428	19348	25752
429	19389	25702
430	19435	25658
431	19478	25611
432	19527	25571
433	19572	25525
434	19611	25472
435	19654	25424
436	19697	25377
437	19743	25332
438	19786	25285
439	19833	25242
440	19880	25200
441	19926	25156
442	19969	25108
443	20010	25058
444	20050	25006
445	20095	24961
446	20141	24917
447	20186	24872
448	20227	24822
449	20271	24776
450	20314	24728
451	20359	24684
452	20401	24634
453	20448	24592
454	20494	24548
455	20533	24496
456	20581	24454
457	20627	24410
458	20669	24361
459	20716	24318
460	20761	24274
461	20808	24232
462	20856	24189
463	20899	24142
464	20941	24093
465	20985	24048
466	21027	23999
467	21069	23951
468	21116	23907
469	21159	23860
470	21203	23814
471	21245	23766
472	21293	23724
473	21335	23676
474	21380	23631
475	21426	23586
476	21471	23542
477	21516	23497
478	21560	23451
479	21604	23404
480	21648	23358
481	21692	23312
482	21738	23268
483	21780	23220
484	21824	23174
485	21868	23128
486	21916	23086
487	21962	23042
488	22009	22999
489	22055	22955
490	22099	22909
491	22142	22862
492	22187	22817
493	22231	22772
494	22275	22725
495	22322	22682
496	22369	22639
497	22414	22594
498	22460	22551
499	22507	22507
500	22550	22460
501	22593	22413
502	22642	22372
503	22688	22328
504	22731	22281
505	22774	22234
506	22819	22189
507	22864	22144
508	22907	22097
509	22949	22049
510	22994	22004
511	23038	21958
512	23081	21912
513	23126	21866
514	23175	21825
515	23221	21781
516	23269	21738
517	23311	21691
518	23355	21645
519	23401	21600
520	23445	21555
521	23489	21509
522	23534	21464
523	23573	21413
524	23617	21368
525	23660	21321
526	23703	21274
527	23747	21228
528	23787	21179
529	23829	21131
530	23876	21088
531	23916	21039
532	23964	20996
533	24007	20950
534	24053	20906
535	24100	20862
536	24148	20820
537	24198	20779
538	24248	20739
539	24294	20695
540	24341	20651
541	24391	20611
542	24444	20573
543	24492	20530
544	24540	20487
545	24584	20442
546	24630	20397
547	24679	20355
548	24727	20313
549	24767	20263
550	24811	20218
551	24854	20172
552	24902	20128
553	24946	20083
554	24993	20039
555	25040	19996
556	25087	19953
557	25134	19909
558	25181	19865
559	25225	19819
560	25272	19776
561	25315	19730
562	25359	19684
563	25410	19643
564	25460	19602
565	25503	19555
566	25549	19511
567	25592	19464
568	25638	19420
569	25683	19375
570	25728	19330
571	25777	19288
572	25823	19243
573	25864	19195
574	25911	19151
575	25954	19105
576	26000	19060
577	26047	19017
578	26090	18970
579	26134	18924
580	26180	18880
581	26226	18835
582	26272	18791
583	26317	18747
584	26358	18698
585	26400	18651
586	26445	18606
587	26493	18563
588	26534	18515
589	26578	18469
590	26618	18421
591	26664	18376
592	26713	18334
593	26759	18289
594	26807	18246
595	26851	18201
596	26895	18155
597	26939	18110
598	26982	18063
599	27025	18017
600	27072	17973
601	27119	17929
602	27165	17885
603	27210	17840
604	27255	17794
605	27301	17750
606	27345	17704
607	27391	17660
608	27434	17613
609	27480	17569
610	27525	17524
611	27567	17477
612	27610	17430
613	27650	17382
614	27691	17335
615	27733	17288
616	27778	17243
617	27823	17198
618	27867	17152
619	27914	17108
620	27955	17061
621	28000	17016
622	28045	16971
623	28089	16925
624	28131	16878
625	28173	16832
626	28216	16785
627	28264	16742
628	28312	16699
629	28359	16655
630	28406	16611
631	28449	16565
632	28493	16519
633	28538	16474
634	28581	16428
635	28626	16383
636	28668	16337
637	28713	16292
638	28758	16246
639	28801	16200
640	28847	16156
641	28897	16113
642	28948	16072
643	28994	16027
644	29040	15983
645	29086	15939
646	29134	15895
647	29174	15847
648	29219	15802
649	29261	15756
650	29304	15710
651	29349	15664
652	29397	15621
653	29446	15578
654	29492	15534
655	29537	15489
656	29583	15444
657	29628	15399
658	29673	15354
659	29718	15309
660	29764	15264
661	29808	15219
662	29858	15176
663	29902	15131
664	29950	15088
665	29992	15041
666	30037	14996
667	30083	14951
668	30129	14907
669	30176	14862
670	30218	14816
671	30261	14770
672	30306	14725
673	30350	14679
674	30400	14637
675	30447	14593
676	30495	14549
677	30543	14505
678	30590	14461
679	30639	14418
680	30683	14372
681	30728	14328
682	30773	14283
683	30817	14237
684	30864	14193
685	30914	14150
686	30965	14108
687	31018	14066
688	31068	14023
689	31114	13979
690	31165	13936
691	31229	13899
692	31274	13854
693	31321	13810
694	31371	13767
695	31418	13722
696	31463	13677
697	31512	13634
698	31556	13588
699	31597	13541
700	31641	13496
701	31686	13451
702	31732	13406
703	31777	13360
704	31819	13314
705	31863	13268
706	31910	13224
707	31953	13178
708	31996	13132
709	32042	13087
710	32085	13041
711	32130	12996
712	32180	12953
713	32225	12908
714	32265	12861
715	32309	12815
716	32356	12770
717	32404	12726
718	32448	12681
719	32495	12637
720	32542	12592
721	32587	12547
722	32635	12503
723	32675	12456
724	32719	12410
725	32765	12366
726	32812	12321
727	32859	12277
728	32901	12230
729	32943	12184
730	32987	12138
731	33030	12093
732	33079	12049
733	33125	12004
734	33170	11959
735	33213	11913
736	33256	11867
737	33303	11823
738	33354	11780
739	33400	11735
740	33446	11690
741	33490	11644
742	33537	11600
743	33587	11556
744	33638	11513
745	33687	11470
746	33733	11425
747	33777	11379
748	33820	11333
749	33863	11287
750	33907	11242
751	33949	11196
752	33992	11150
753	34037	11105
754	34080	11059
755	34123	11013
756	34167	10967
757	34212	10922
758	34257	10877
759	34300	10831
760	34345	10786
761	34390	10741
762	34438	10697
763	34483	10652
764	34528	10606
765	34575	10562
766	34624	10518
767	34670	10473
768	34714	10427
769	34760	10382
770	34803	10337
771	34850	10292
772	34898	10248
773	34947	10204
774	34991	10158
775	35034	10113
776	35078	10067
777	35129	10024
778	35175	9979
779	35221	9934
780	35265	9888
781	35311	9843
782	35358	9799
783	35405	9754
784	35453	9710
785	35497	9664
786	35541	9619
787	35589	9574
788	35633	9529
789	35679	9484
790	35723	9438
791	35772	9394
792	35815	9349
793	35858	9303
794	35901	9257
795	35946	9212
796	35992	9167
797	36040	9123
798	36082	9077
799	36129	9032
800	36172	8986
801	36217	8941
802	36259	8895
