iter	RMSE
0	145.2209429
1	139.6771368
2	134.7840264
3	130.1688391
4	125.9865579
5	122.0338461
6	118.3763955
7	115.0674003
8	112.0866786
9	109.1654943
10	106.416197
11	103.9918708
12	101.5998651
13	99.50292842
14	97.52683473
15	95.90888499
16	94.20883527
17	91.64967636
18	89.24896887
19	86.94315793
20	84.94581487
21	83.16852694
22	81.54208658
23	79.94929659
24	78.43412379
25	77.13763082
26	75.94078036
27	74.71727773
28	73.42323579
29	71.94711272
30	70.97006322
31	70.11703915
32	69.13407204
33	68.3893813
34	67.71012471
35	66.85145888
36	65.78904387
37	64.87115929
38	64.28575652
39	63.46970605
40	62.9797113
41	62.53476377
42	61.77841891
43	61.37249702
44	60.78500754
45	60.17880138
46	59.78455777
47	59.46334141
48	59.26558057
49	59.02637232
50	58.35608838
51	58.09718446
52	57.8382271
53	57.57118752
54	57.33827724
55	57.09792713
56	56.70550612
57	56.52422114
58	56.35951242
59	56.17517295
60	55.96392298
61	55.61438986
62	55.50884817
63	55.39203939
64	55.18367149
65	55.00969526
66	54.73544525
67	54.62900505
68	54.4792402
69	54.33339016
70	54.16706202
71	53.98214306
72	53.83489076
73	53.68338319
74	53.53228372
75	53.28046793
76	53.08603973
77	52.99732807
78	52.88707943
79	52.77611631
80	52.63390193
81	52.51903106
82	52.40056434
83	52.27282203
84	52.05163397
85	51.87925863
86	51.70169106
87	51.42884386
88	51.40190223
89	51.3242657
90	51.22018904
91	50.91899206
92	50.8215533
93	50.69857031
94	50.63121822
95	50.54539544
96	50.48985801
97	50.47395077
98	50.13965827
99	49.90819563
100	49.72928463
101	49.51166059
102	49.42768365
103	49.37308895
104	49.21206338
105	49.16376529
106	49.1075176
107	48.94105895
108	48.88541696
109	48.67189971
110	48.60856965
111	48.5561304
112	48.37748218
113	48.35241182
114	48.26756839
115	48.23161022
116	48.19331694
117	48.13061422
118	47.98984241
119	47.83603739
120	47.68609512
121	47.62523058
122	47.57375138
123	47.53265336
124	47.4790126
125	47.36955309
126	47.33302825
127	47.30728799
128	47.26299108
129	47.24470721
130	47.12763187
131	47.06617457
132	47.00112662
133	46.97809593
134	46.94298455
