iter	Passed	Remaining
401	19999	29750
402	20052	29705
403	20097	29649
404	20154	29610
405	20205	29561
406	20248	29502
407	20295	29447
408	20358	29417
409	20409	29369
410	20450	29306
411	20495	29251
412	20541	29196
413	20586	29139
414	20632	29084
415	20679	29030
416	20722	28971
417	20775	28926
418	20826	28878
419	20866	28816
420	20910	28758
421	20951	28696
422	20990	28632
423	21032	28572
424	21074	28512
425	21131	28473
426	21182	28424
427	21235	28379
428	21283	28328
429	21336	28283
430	21386	28233
431	21432	28179
432	21492	28144
433	21537	28088
434	21595	28049
435	21651	28007
436	21699	27956
437	21741	27896
438	21802	27860
439	21870	27835
440	21927	27794
441	21970	27736
442	22025	27693
443	22071	27639
444	22124	27593
445	22166	27534
446	22212	27480
447	22253	27419
448	22303	27370
449	22359	27328
450	22406	27275
451	22462	27233
452	22513	27184
453	22565	27138
454	22618	27092
455	22675	27051
456	22727	27004
457	22779	26957
458	22833	26913
459	22876	26855
460	22921	26800
461	22975	26754
462	23015	26694
463	23069	26649
464	23126	26608
465	23194	26578
466	23256	26543
467	23323	26512
468	23385	26476
469	23446	26439
470	23491	26384
471	23533	26325
472	23600	26295
473	23648	26243
474	23699	26194
475	23749	26144
476	23794	26088
477	23846	26041
478	23910	26006
479	23972	25970
480	24025	25924
481	24068	25865
482	24114	25811
483	24160	25757
484	24206	25703
485	24251	25648
486	24295	25592
487	24337	25534
488	24381	25478
489	24427	25424
490	24471	25368
491	24517	25314
492	24563	25260
493	24614	25212
494	24664	25163
495	24717	25116
496	24762	25061
497	24802	25001
498	24878	24978
499	24932	24932
500	24975	24875
501	25016	24817
502	25058	24759
503	25107	24708
504	25149	24651
505	25191	24594
506	25230	24533
507	25300	24503
508	25353	24456
509	25408	24412
510	25464	24368
511	25513	24317
512	25560	24265
513	25603	24209
514	25646	24152
515	25691	24098
516	25733	24040
517	25775	23984
518	25819	23929
519	25862	23873
520	25910	23821
521	25956	23768
522	26003	23716
523	26057	23670
524	26100	23614
525	26144	23559
526	26203	23518
527	26261	23476
528	26317	23431
529	26371	23385
530	26416	23331
531	26469	23285
532	26509	23226
533	26553	23172
534	26609	23127
535	26666	23084
536	26731	23048
537	26776	22994
538	26817	22936
539	26859	22880
540	26907	22829
541	26958	22780
542	27000	22724
543	27048	22673
544	27106	22629
545	27166	22589
546	27223	22545
547	27273	22495
548	27323	22446
549	27369	22393
550	27413	22338
551	27460	22287
552	27505	22233
553	27543	22174
554	27585	22118
555	27635	22068
556	27682	22017
557	27725	21961
558	27765	21904
559	27810	21851
560	27854	21796
561	27901	21744
562	27953	21697
563	28003	21647
564	28059	21603
565	28117	21560
566	28173	21515
567	28217	21461
568	28271	21414
569	28323	21367
570	28376	21319
571	28422	21267
572	28476	21220
573	28522	21167
574	28571	21118
575	28625	21071
576	28668	21016
577	28710	20961
578	28758	20910
579	28811	20863
580	28862	20814
581	28907	20761
582	28952	20708
583	29009	20664
584	29061	20616
585	29117	20570
586	29163	20518
587	29220	20474
588	29271	20425
589	29322	20376
590	29370	20325
591	29413	20271
592	29464	20223
593	29512	20171
594	29556	20118
595	29616	20075
596	29669	20028
597	29716	19976
598	29764	19926
599	29829	19886
600	29880	19837
601	29932	19789
602	29978	19737
603	30035	19692
604	30076	19637
605	30120	19583
606	30163	19529
607	30219	19483
608	30271	19435
609	30326	19389
610	30370	19335
611	30420	19285
612	30465	19233
613	30515	19183
614	30584	19146
615	30643	19102
616	30695	19054
617	30749	19006
618	30799	18957
619	30842	18903
620	30899	18858
621	30948	18807
622	31000	18759
623	31041	18704
624	31094	18656
625	31145	18607
626	31192	18556
627	31236	18503
628	31289	18455
629	31344	18408
630	31388	18355
631	31429	18300
632	31478	18250
633	31531	18202
634	31575	18149
635	31630	18102
636	31693	18061
637	31752	18016
638	31802	17966
639	31858	17920
640	31903	17867
641	31948	17815
642	32002	17768
643	32047	17715
644	32093	17664
645	32142	17613
646	32184	17559
647	32239	17512
648	32285	17461
649	32331	17409
650	32382	17360
651	32428	17308
652	32470	17254
653	32515	17202
654	32558	17149
655	32611	17101
656	32661	17051
657	32718	17005
658	32768	16956
659	32817	16906
660	32873	16859
661	32919	16807
662	32960	16753
663	33020	16709
664	33071	16660
665	33115	16607
666	33167	16558
667	33224	16512
668	33295	16473
669	33341	16421
670	33382	16368
671	33428	16316
672	33472	16263
673	33518	16212
674	33563	16160
675	33606	16107
676	33655	16057
677	33701	16005
678	33748	15954
679	33795	15903
680	33854	15858
681	33902	15808
682	33948	15756
683	33992	15704
684	34047	15656
685	34102	15609
686	34149	15558
687	34209	15513
688	34261	15464
689	34310	15415
690	34352	15361
691	34403	15312
692	34457	15264
693	34507	15214
694	34569	15170
695	34636	15128
696	34681	15076
697	34727	15025
698	34778	14975
699	34828	14926
700	34877	14876
701	34919	14823
702	34971	14774
703	35026	14726
704	35077	14677
705	35125	14627
706	35168	14574
707	35210	14521
708	35258	14471
709	35303	14419
710	35350	14368
711	35406	14321
712	35466	14276
713	35510	14224
714	35557	14173
715	35605	14122
716	35647	14070
717	35696	14020
718	35753	13973
719	35800	13922
720	35856	13875
721	35899	13822
722	35963	13778
723	36016	13730
724	36068	13681
725	36115	13630
726	36157	13577
727	36212	13529
728	36265	13481
729	36328	13436
730	36378	13386
731	36433	13339
732	36481	13288
733	36523	13236
734	36577	13187
735	36628	13138
736	36673	13086
737	36723	13037
738	36768	12986
739	36820	12936
740	36864	12885
741	36908	12833
742	36956	12783
743	37010	12734
744	37055	12683
745	37113	12636
746	37162	12586
747	37217	12538
748	37262	12487
749	37309	12436
750	37370	12390
751	37431	12344
752	37476	12293
753	37526	12243
754	37592	12198
755	37640	12148
756	37685	12097
757	37746	12050
758	37800	12002
759	37852	11953
760	37906	11904
761	37960	11856
762	38012	11807
763	38061	11757
764	38106	11706
765	38155	11655
766	38204	11605
767	38254	11556
768	38297	11504
769	38338	11451
770	38382	11400
771	38430	11350
772	38479	11299
773	38520	11247
774	38570	11197
775	38628	11150
776	38688	11103
777	38746	11056
778	38800	11007
779	38852	10958
780	38903	10908
781	38948	10857
782	38992	10806
783	39041	10756
784	39088	10705
785	39132	10654
786	39178	10603
787	39227	10553
788	39275	10503
789	39318	10451
790	39370	10402
791	39417	10352
792	39475	10304
793	39523	10254
794	39571	10203
795	39626	10155
796	39676	10105
797	39720	10054
798	39764	10003
799	39806	9951
800	39849	9900
801	39911	9853
802	39959	9803
803	40008	9753
804	40057	9703
805	40108	9653
806	40163	9605
807	40223	9558
808	40282	9510
809	40329	9459
810	40377	9409
811	40418	9358
812	40466	9307
813	40515	9257
814	40570	9209
815	40628	9161
816	40674	9110
817	40723	9060
818	40763	9008
819	40815	8959
820	40870	8910
821	40915	8860
822	40962	8809
823	41009	8759
824	41060	8709
825	41104	8658
826	41146	8607
827	41196	8557
828	41246	8508
829	41288	8456
830	41330	8405
831	41382	8355
832	41423	8304
833	41473	8255
834	41527	8206
835	41585	8157
836	41639	8109
837	41700	8061
838	41762	8013
839	41823	7966
840	41872	7916
841	41938	7869
842	41993	7820
843	42042	7770
844	42090	7720
845	42153	7673
846	42208	7624
847	42254	7573
848	42300	7523
849	42344	7472
850	42393	7422
851	42445	7373
852	42496	7323
853	42541	7272
854	42592	7223
855	42639	7172
856	42687	7122
857	42729	7071
858	42780	7022
859	42822	6971
860	42873	6921
861	42919	6871
862	42962	6820
863	43007	6769
864	43062	6720
865	43108	6670
866	43163	6621
867	43222	6572
868	43266	6522
869	43311	6471
870	43359	6421
871	43417	6373
872	43462	6322
873	43504	6271
874	43559	6222
875	43600	6171
876	43647	6121
877	43693	6071
878	43743	6021
879	43792	5971
880	43840	5921
881	43886	5871
882	43935	5821
883	43984	5771
884	44036	5722
885	44079	5671
886	44121	5620
887	44165	5570
888	44211	5520
889	44262	5470
890	44319	5421
891	44367	5371
892	44415	5321
893	44463	5271
894	44508	5221
895	44557	5171
896	44598	5121
897	44643	5070
898	44690	5020
899	44733	4970
900	44779	4920
901	44839	4871
902	44905	4823
903	44954	4773
904	45007	4724
905	45075	4676
906	45127	4627
907	45171	4576
908	45219	4526
909	45272	4477
910	45324	4428
911	45369	4377
912	45425	4328
913	45470	4278
914	45535	4230
915	45599	4181
916	45654	4132
917	45699	4082
918	45759	4033
919	45820	3984
920	45872	3934
921	45919	3884
922	45965	3834
923	46007	3784
924	46054	3734
925	46095	3683
926	46139	3633
927	46195	3584
928	46247	3534
929	46294	3484
930	46337	3434
931	46380	3383
932	46420	3333
933	46471	3283
934	46521	3234
935	46563	3183
936	46607	3133
937	46656	3083
938	46704	3034
939	46752	2984
940	46815	2935
941	46872	2886
942	46923	2836
943	46976	2786
944	47027	2737
945	47077	2687
946	47133	2637
947	47176	2587
948	47226	2537
949	47281	2488
950	47329	2438
951	47384	2389
952	47432	2339
953	47480	2289
954	47530	2239
955	47576	2189
956	47619	2139
957	47664	2089
